model,oyear,horizon,cov90,cov50,n,origins,region,assessed,in_band,target
b1_ets+series,2022,2,0.9856503913529631,0.6270965337308982,5366,12,assessable,True,False,all
b1_ets+series,2022,3,0.9858050056032872,0.6251400821815465,5354,12,assessable,True,False,all
b1_ets+series,2022,4,0.9865269461077845,0.6888098802395209,5344,12,assessable,True,False,all
b1_ets+series,2022,5,0.9863167760074977,0.7448922211808809,5335,12,assessable,True,False,all
b1_ets+series,2022,6,0.984984984984985,0.7903528528528528,5328,12,assessable,True,False,all
b1_ets+series,2023,1,0.9656453110492108,0.6380687093779016,5385,12,assessable,True,False,all
b1_ets+series,2023,2,0.9760600527490363,0.6928383039156015,4929,11,assessable,True,False,all
b1_ets+series,2023,3,0.97719651240778,0.6946121171473284,4473,10,assessable,True,False,all
b1_ets+series,2023,4,0.9751119960179193,0.7045793927327029,4018,9,assessable,True,False,all
b1_ets+series,2023,5,0.9688814129520605,0.7275021026072329,3567,8,assessable,True,False,all
b1_ets+series,2023,6,0.9656611039794608,0.7509627727856226,3116,7,assessable,True,False,all
m1_enbpi,2018,1,0.8813559322033898,0.37660190161223644,4838,9,assessable,True,True,all
m1_enbpi,2018,2,0.8464730290456431,0.3412863070539419,4820,9,assessable,True,False,all
m1_enbpi,2018,3,0.8519599666388658,0.3613427856547123,4796,9,assessable,True,False,all
m1_enbpi,2018,4,0.8406040268456376,0.4089765100671141,4768,9,assessable,True,False,all
m1_enbpi,2018,5,0.8118018967334035,0.34120126448893573,4745,9,assessable,True,False,all
m1_enbpi,2018,6,0.7844918656243397,0.3171350095077118,4733,9,assessable,True,False,all
m1_enbpi,2019,1,0.8554276315789474,0.3101973684210526,6080,12,assessable,True,False,all
m1_enbpi,2019,2,0.8448703122418635,0.3099289608458616,6053,12,assessable,True,False,all
m1_enbpi,2019,3,0.827191235059761,0.3109229747675963,6024,12,assessable,True,False,all
m1_enbpi,2019,4,0.8099399235390496,0.3546331694884398,5493,11,assessable,True,False,all
m1_enbpi,2019,5,0.8081640860647497,0.305047255177961,4973,10,assessable,True,False,all
m1_enbpi,2019,6,0.7905677246312025,0.299731783638802,4474,9,assessable,True,False,all
m1_enbpi,2020,1,0.7723658051689861,0.2077534791252485,1006,2,assessable,False,False,all
m1_enbpi,2020,2,0.654,0.172,500,1,assessable,False,False,all
m1_enbpi,2021,1,0.8832796276405299,0.40744718940207664,2793,6,assessable,True,True,all
m1_enbpi,2021,2,0.8800718132854578,0.4186714542190305,2785,6,assessable,True,True,all
m1_enbpi,2021,3,0.9010791366906474,0.5276978417266187,2780,6,assessable,True,True,all
m1_enbpi,2021,4,0.9031677465802735,0.5766738660907127,2778,6,assessable,True,True,all
m1_enbpi,2021,5,0.8694554633970429,0.4875586007933646,2773,6,assessable,True,False,all
m1_enbpi,2021,6,0.806941431670282,0.49168474331164136,2766,6,assessable,True,False,all
m1_enbpi,2022,1,0.8653985507246377,0.3496376811594203,5520,12,assessable,True,False,all
m1_enbpi,2022,2,0.852087114337568,0.35771324863883847,5510,12,assessable,True,False,all
