org_code,org_name,icb_code,icb_name,region,method,evidence,source
RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,QOP,NHS Greater Manchester Integrated Care Board,NORTH WEST,ods_successor,ODS successor R0A,ods_records.json
RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,QHM,NHS North East And North Cumbria Integrated Care Board,NORTH EAST AND YORKSHIRE,ods_successor,ODS successor RNN,ods_records.json
RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,QYG,NHS Cheshire And Merseyside Integrated Care Board,NORTH WEST,ods_successor,ODS successor REM,ods_records.json
RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,D7T5G,NHS Essex Integrated Care Board,EAST OF ENGLAND,ods_successor,ODS successor RAJ,ods_records.json
RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,S1Y5D,NHS Central East Integrated Care Board,EAST OF ENGLAND,ods_successor,ODS successor RGN,ods_records.json
RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,QHL,NHS Birmingham And Solihull Integrated Care Board,MIDLANDS,ods_successor,ODS successor RRK,ods_records.json
RT2,PENNINE CARE NHS FOUNDATION TRUST,QOP,NHS Greater Manchester Integrated Care Board,NORTH WEST,legacy_stp,STP Greater Manchester,2026-08/Acute-Trust-Attribution-File.xls
RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,QKK,NHS South East London Integrated Care Board,LONDON,ods_successor,ODS successor RJ1,ods_records.json
RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,QYG,NHS Cheshire And Merseyside Integrated Care Board,NORTH WEST,ods_successor,ODS successor RW4,ods_records.json
RVY,Southport And Ormskirk Hospital NHS Trust,QYG,NHS Cheshire And Merseyside Integrated Care Board,NORTH WEST,ods_successor,ODS successor RBN,ods_records.json
RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,QOP,NHS Greater Manchester Integrated Care Board,NORTH WEST,ods_successor,ODS successor R0A,ods_records.json
RW6,PENNINE ACUTE HOSPITALS NHS TRUST,QOP,NHS Greater Manchester Integrated Care Board,NORTH WEST,ods_successor,"ODS successor R0A, RM3",ods_records.json
RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,S9B9J,NHS Surrey and Sussex Integrated Care Board,SOUTH EAST,ods_successor,ODS successor RYR,ods_records.json
RY1,LIVERPOOL COMMUNITY HEALTH NHS TRUST,QYG,NHS Cheshire And Merseyside Integrated Care Board,NORTH WEST,ods_successor,ODS successor RW4,ods_records.json
Y00058,CARFAX HEALTH ENTERPRISE,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",SOUTH WEST,legacy_stp,"STP Bath, Swindon and Wiltshire",2026-08/Acute-Trust-Attribution-File.xls
Y00751,East Berks Primary Care Ooh(Wam),S0E4D,NHS Thames Valley Integrated Care Board,SOUTH EAST,earlier_mapping,ICB QNQ in 2025-08/System-Mapping.xls,2025-08/System-Mapping.xls
Y02147,Urgent Care Centre (Qms),QKK,NHS South East London Integrated Care Board,LONDON,earlier_mapping,ICB QKK in 2025-08/System-Mapping.xls,2025-08/System-Mapping.xls
Y02470,SSAFA CARE WALK-IN-CENTRE,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",MIDLANDS,legacy_stp,"STP Leicester, Leicestershire and Rutland",2026-08/Acute-Trust-Attribution-File.xls
Y02533,PARKFIELD (H) MINOR EMERGENCY,QYG,NHS Cheshire And Merseyside Integrated Care Board,NORTH WEST,legacy_stp,STP Cheshire and Merseyside,2026-08/Acute-Trust-Attribution-File.xls
Y02584,WALK IN CENTRE,QVV,NHS Dorset Integrated Care Board,SOUTH WEST,legacy_stp,STP Dorset,2026-08/Acute-Trust-Attribution-File.xls
Y02615,South Birmingham GP Walk In Centre,QHL,NHS Birmingham And Solihull Integrated Care Board,MIDLANDS,earlier_mapping,ICB QHL in 2026-04/System-Mapping.xls,2026-04/System-Mapping.xls
Y02652,NHS COVENTRY HEALTHCARE & WIC,QWU,NHS Coventry And Warwickshire Integrated Care Board,MIDLANDS,legacy_stp,STP Coventry and Warwickshire,2026-08/Acute-Trust-Attribution-File.xls
Y02666,SALISBURY WALK-IN HC,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",SOUTH WEST,legacy_stp,"STP Bath, Swindon and Wiltshire",2026-08/Acute-Trust-Attribution-File.xls
Y02688,ASHFORD HEALTH CENTRE,S9B9J,NHS Surrey and Sussex Integrated Care Board,SOUTH EAST,legacy_stp,STP Surrey Heartlands,2026-08/Acute-Trust-Attribution-File.xls
Y02692,BRENT GP ACCESS UNIT HARNESS-WEMBLEY,Z9B2Z,NHS West and North London Integrated Care Board,LONDON,legacy_stp,STP North West London,2026-08/Acute-Trust-Attribution-File.xls
Y02696,EDMONTON GP WALK IN CENTRE,Z9B2Z,NHS West and North London Integrated Care Board,LONDON,legacy_stp,STP North Central London,2026-08/Acute-Trust-Attribution-File.xls
Y02816,Eastbourne Station Health Centre,S9B9J,NHS Surrey and Sussex Integrated Care Board,SOUTH EAST,legacy_stp,STP Sussex & East Surrey,2026-08/Acute-Trust-Attribution-File.xls
Y02875,LINDLEY HOUSE HEALTH CENTRE,QOP,NHS Greater Manchester Integrated Care Board,NORTH WEST,legacy_stp,STP Greater Manchester,2026-08/Acute-Trust-Attribution-File.xls
Y02961,SUMMERFIELD GP SURG & URGENT CARE CENTRE,QUA,NHS Black Country Integrated Care Board,MIDLANDS,legacy_stp,STP The Black Country,2026-08/Acute-Trust-Attribution-File.xls
Y02973,ORCHARD VILLAGE WALK-IN-CENTRE,QMF,NHS North East London Integrated Care Board,LONDON,legacy_stp,STP North East London,2026-08/Acute-Trust-Attribution-File.xls
Y03007,Erdington GP Health & Wellbeing Wic,QHL,NHS Birmingham And Solihull Integrated Care Board,MIDLANDS,earlier_mapping,ICB QHL in 2026-04/System-Mapping.xls,2026-04/System-Mapping.xls
Y03047,ST ANDREWS WALK-IN CENTRE,QMF,NHS North East London Integrated Care Board,LONDON,legacy_stp,STP North East London,2026-08/Acute-Trust-Attribution-File.xls
Y03051,HASTINGS MED P & WALKIN,S9B9J,NHS Surrey and Sussex Integrated Care Board,SOUTH EAST,legacy_stp,STP Sussex & East Surrey,2026-08/Acute-Trust-Attribution-File.xls
Y03082,HAROLD WOOD WALK IN CENTRE,QMF,NHS North East London Integrated Care Board,LONDON,legacy_stp,STP North East London,2026-08/Acute-Trust-Attribution-File.xls
Y03094,THE JUNCTION HC - UNREGISTERED PATIENTS,QWE,NHS South West London Integrated Care Board,LONDON,legacy_stp,STP South West London,2026-08/Acute-Trust-Attribution-File.xls
Y03201,WALDRON - HURLEY UNREGISTERED PRACTICE,QKK,NHS South East London Integrated Care Board,LONDON,legacy_stp,STP South East London,2026-08/Acute-Trust-Attribution-File.xls
Y03645,MORETON HEALTH MINOR INJURY,QYG,NHS Cheshire And Merseyside Integrated Care Board,NORTH WEST,legacy_stp,STP Cheshire and Merseyside,2026-08/Acute-Trust-Attribution-File.xls
Y07709,Reading Urgent Care Centre,S0E4D,NHS Thames Valley Integrated Care Board,SOUTH EAST,earlier_mapping,ICB QU9 in 2025-06/System-Mapping.xls,2025-06/System-Mapping.xls
