split,origin_set,n_origins,level,mode,g1,stat,months,oyear,horizon,point_raw,lo_raw,hi_raw,lo_within_raw,hi_within_raw,n_rows_raw,n_series_raw,n_units_raw,zero_den_raw,degenerate_raw,point_pooled,lo_pooled,hi_pooled,lo_within_pooled,hi_within_pooled,n_rows_pooled,n_series_pooled,n_units_pooled,zero_den_pooled,degenerate_pooled,point_diff,lo_diff,hi_diff,lo_within_diff,hi_within_diff,zero_den_diff,degenerate_diff,raw_gap_point_pp,raw_gap_lo_pp,raw_gap_hi_pp,pooled_gap_point_pp,pooled_gap_lo_pp,pooled_gap_hi_pp,diff_point_pp,diff_lo_pp,diff_hi_pp,model
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2025,3,0.9513933895009722,0.9287916545266012,0.9663568800439248,0.937145914728251,0.9646413658378318,3086,188,7,26,False,0.9462086843810759,0.9263419444893995,0.9623042275942991,0.9315727740609204,0.9598217815351947,3086,188,7,26,False,-0.005184705119896327,-0.011084478321489349,0.0,-0.009809388622171292,-0.000995166557819702,26,False,5.139338950097216,2.879165452660115,6.635688004392481,4.620868438107584,2.6341944489399527,6.23042275942991,-0.5184705119896327,-1.1084478321489348,0.0,b2_stl_arima
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2025,4,0.95425048669695,0.9350612077527313,0.96965199944652,0.9399463954751195,0.9671743021368757,3082,188,7,26,False,0.9467878001297858,0.9284717335209947,0.9652361993762792,0.9316233140655106,0.9608372054430799,3082,188,7,26,False,-0.007462686567164201,-0.01628346367874872,0.0,-0.013008909559667704,-0.003356218461066285,26,False,5.425048669694998,3.506120775273125,6.965199944652001,4.678780012978578,2.8471733520994635,6.523619937627922,-0.7462686567164201,-1.6283463678748717,0.0,b2_stl_arima
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2025,5,0.9574398960363872,0.9418702751756005,0.9735683796130877,0.9439038154409474,0.9707305513758687,3078,188,7,26,False,0.9499675113710201,0.9334974760053781,0.9699135786374649,0.9343907712721264,0.9641919040685157,3078,188,7,26,False,-0.007472384665367149,-0.014863201885275675,0.0,-0.013421015015830618,-0.0029578575721154,26,False,5.743989603638722,4.187027517560049,7.356837961308771,4.996751137102007,3.3497476005378113,6.991357863746483,-0.7472384665367149,-1.4863201885275674,0.0,b2_stl_arima
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2025,6,0.9560975609756097,0.9394653132677326,0.9730431051461692,0.9415256887360164,0.9703662940951077,3075,188,7,26,False,0.9473170731707317,0.9303112313937754,0.9682066236662696,0.9311579938377268,0.962559138438451,3075,188,7,26,False,-0.008780487804878057,-0.016149271391206872,0.0,-0.015172352237195588,-0.003447221095451349,26,False,5.60975609756097,3.9465313267732616,7.304310514616919,4.731707317073164,3.031123139377534,6.820662366626962,-0.8780487804878057,-1.6149271391206872,0.0,b2_stl_arima
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,1,0.7295785154792988,0.6878481626511485,0.7998079503007759,0.7184079524885141,0.7421725154135614,5362,195,12,1,False,0.8627377844088027,0.8342928858473666,0.9070541179332163,0.8531952656407589,0.8734489561598163,5362,195,12,1,False,0.13315926892950392,0.0997547054309683,0.15145354653180862,0.124540335690482,0.1413056499302873,1,False,-17.042148452070126,-21.21518373488516,-10.019204969922413,-3.7262215591197356,-6.570711415263341,0.7054117933216308,13.315926892950392,9.97547054309683,15.145354653180862,m1_lightgbm_v3_raw
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,2,0.7009712364587225,0.6613688042737336,0.7732822168655465,0.6852632921148375,0.7184743790511137,5354,194,12,1,False,0.8772880089652596,0.8569114843647102,0.9144252806695016,0.8645865005004633,0.8909757425391182,5354,194,12,1,False,0.1763167725065371,0.1352934484813981,0.20468922949152013,0.16412892183089095,0.18852412785784162,1,False,-19.902876354127752,-23.863119572626644,-12.671778313445348,-2.271199103474042,-4.3088515635289815,1.442528066950155,17.63167725065371,13.529344848139809,20.468922949152013,m1_lightgbm_v3_raw
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,3,0.6776364996260285,0.6378239492205486,0.7293343762478844,0.6590185329413798,0.6977458481759742,5348,191,12,1,False,0.87471952131638,0.8436070835283208,0.914944697441247,0.8601242939024294,0.8906585696797789,5348,191,12,1,False,0.19708302169035152,0.17509163069344386,0.21946200385767553,0.183168324418765,0.2111604701362829,1,False,-22.236350037397155,-26.217605077945137,-17.066562375211557,-2.5280478683620045,-5.639291647167921,1.4944697441246935,19.708302169035154,17.509163069344385,21.946200385767554,m1_lightgbm_v3_raw
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,4,0.6841317365269461,0.6467613096460971,0.7321649530689618,0.6631804388763924,0.7061417832531676,5344,191,12,1,False,0.8920284431137725,0.8694030165961162,0.9202120907476861,0.8764038742962026,0.9084682396929111,5344,191,12,1,False,0.20789670658682635,0.17825321408661068,0.23299773445504268,0.1933805164885852,0.2231743293457963,1,False,-21.586826347305387,-25.323869035390288,-16.783504693103822,-0.7971556886227527,-3.0596983403883837,2.021209074768604,20.789670658682635,17.82532140866107,23.299773445504268,m1_lightgbm_v3_raw
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,5,0.6779629282905822,0.6336476306034827,0.748840688638738,0.6574075121310089,0.7000656781071325,5341,192,12,1,False,0.891593334581539,0.8651639126507624,0.9303335534007983,0.8757762625461915,0.9076000383238403,5341,192,12,1,False,0.21363040629095675,0.17208105908550428,0.24065598361542398,0.19892390659014453,0.22791337970087028,1,False,-22.203707170941776,-26.63523693965173,-15.115931136126203,-0.8406665418461023,-3.48360873492376,3.033355340079824,21.363040629095675,17.20810590855043,24.0655983615424,m1_lightgbm_v3_raw
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,6,0.670601461495222,0.6316472956896405,0.7223693325475269,0.6478760428192752,0.6950976331631347,5337,192,12,1,False,0.905377552932359,0.8821063377854466,0.933809533950544,0.8885557136815582,0.9216722210371292,5337,192,12,1,False,0.23477609143713696,0.19784964989794077,0.26434105592221013,0.2177245863135033,0.2532896118475707,1,False,-22.9398538504778,-26.83527043103595,-17.763066745247315,0.5377552932358975,-1.7893662214553463,3.380953395054398,23.477609143713696,19.784964989794076,26.434105592221012,m1_lightgbm_v3_raw
