split,origin_set,n_origins,model,level,mode,stat,months,g1,target,horizon,point,lo,hi,lo_within,hi_within,boot_mean_minus_point,n_rows,n_series,n_units,zero_den,zero_den_within,degenerate
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,att_type1,6,0.8856773080241588,0.8469818699853509,0.9264129003067684,0.8540052155941986,0.9168006751795789,0.004268428815173975,2318,124,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,adm_via_ae,1,0.358695652173913,0.32818300906756553,0.39830614683344306,0.33648431946304286,0.3816289935517994,0.003082856214324192,2576,139,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,adm_via_ae,2,0.34304584304584307,0.30997830844465374,0.3792778535592906,0.31896527261340957,0.36753886696290683,0.0027495456382748973,2574,138,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,adm_via_ae,3,0.33773804897007387,0.3011302337965874,0.3838689000998636,0.3082356959322525,0.36744942517281054,0.0024035658138902294,2573,138,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,adm_via_ae,4,0.33255542590431736,0.29229777307113536,0.3795985337576055,0.3019476847065028,0.3659615769089195,0.002096233752697796,2571,138,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,adm_via_ae,5,0.3137407551576489,0.2689081676440269,0.3675239234449761,0.28206277035666677,0.34679816485887033,0.0039430045512382494,2569,138,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,adm_via_ae,6,0.33268406700428516,0.29411496154341943,0.3875298937366597,0.30212587715164546,0.36671657405584185,0.0036257679713369573,2567,138,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,att_all,1,0.4954077372669079,0.45729139911060496,0.5513310598187072,0.47470250250316187,0.5165842222884528,0.010700107548655913,3593,195,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,att_all,2,0.5161740100390407,0.46834118841897976,0.583547176344269,0.49655290699238613,0.5355054706398492,0.011185493518687473,3586,194,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,att_all,3,0.5377094972067039,0.4797898006550308,0.6014073069416739,0.5121851850102221,0.5629870190777129,0.012815279075771069,3580,192,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,att_all,4,0.5647914917436329,0.5158435435256606,0.6424040934449993,0.5374703637855688,0.5918437237908862,0.01803185202465507,3573,192,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,att_all,5,0.5904121110176619,0.539764537060977,0.6743844427749145,0.5624840380249716,0.6212004137458851,0.015069078455967388,3567,192,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,att_all,6,0.5933726481325471,0.54717283765658,0.6544076383584602,0.5629928171605276,0.6226084977138222,0.007733655399014605,3561,192,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,att_type1,1,0.29578675838349094,0.2585445277046837,0.34881263084398795,0.2788171244956566,0.31299229893834074,0.005954636760863663,2326,124,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,att_type1,2,0.25849462365591397,0.2174458662916761,0.3105737730937718,0.24259796535701142,0.27490201477809906,0.0033914743531425207,2325,124,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,att_type1,3,0.2908777969018933,0.24999712907671107,0.3308432691935671,0.2693131468496458,0.31162156783275785,-0.0014688591003539364,2324,124,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,att_type1,4,0.2868217054263566,0.2434377264102122,0.3450008365475682,0.2631077451837897,0.311065084842326,0.005289896552148121,2322,124,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,att_type1,5,0.2849137931034483,0.24588536175169196,0.34806990066026,0.259527116145892,0.31068456559039154,0.008641357330232025,2320,124,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,att_type1,6,0.28386540120793785,0.23730431505596772,0.33056455546203983,0.258180369664576,0.31212197847752876,-0.0003247530165825796,2318,124,19,0,0,False
