model,role,target,n_units,n_pairs,diff,diff_lo,diff_hi,rel,rel_lo,rel_hi,n_ref,n_tested,unpaired_ref,unpaired_tested,evaluable,verdict,qualifier,dropped
m1_lightgbm,decides,adm_via_ae,135,536,-0.42712262250227,-0.5413752399373294,-0.3266573433363677,-0.37646089048155507,-0.4368981341387707,-0.3121560345597487,536,537,0,1,True,confirmed,,2024-10-01
m1_lightgbm,descriptive,pooled,190,1771,-0.3824260853857992,-0.4346120454689768,-0.3295621443824921,-0.4436808127818139,-0.481309499749925,-0.4042555860619496,1773,1772,2,1,True,descriptive,,2024-10-01
m1_lightgbm_v3_raw,alongside,att_all,189,750,-0.30621378791783166,-0.38153268170178106,-0.23464592880735677,-0.3800719655648602,-0.42750102601155227,-0.32441187577959235,752,750,2,0,True,confirmed,,2024-10-01
m1_lightgbm_v3_raw,alongside,att_type1,122,485,-0.33127621795733475,-0.4161578854437219,-0.25190323976077683,-0.36778818011808334,-0.4198553561228677,-0.3133934774654304,485,485,0,0,True,confirmed,,2024-10-01
m1_lightgbm_v3_raw,alongside,adm_via_ae,135,536,-0.5180029246163447,-0.6343062761292033,-0.41378786044430527,-0.4565617272404777,-0.5088600248307528,-0.40006316165187583,536,537,0,1,True,confirmed,,2024-10-01
m1_lightgbm_v3_raw,descriptive,pooled,190,1771,-0.3534754597183475,-0.4074143831565237,-0.29935418158906835,-0.41009304872090035,-0.4444487403115659,-0.368984533871581,1773,1772,2,1,True,descriptive,,2024-10-01
m1_lightgbm,decides,att_all,189,751,-0.38287206026581094,-0.4479270069234796,-0.31641917944988956,-0.48035047328690395,-0.5233432021469011,-0.43307532753904215,752,751,1,0,True,confirmed,,2024-11-01
m1_lightgbm,decides,att_type1,122,486,-0.40244987725332343,-0.483570100979945,-0.3274843240201788,-0.46782554393875997,-0.5148627670945234,-0.4185128281492364,486,486,0,0,True,confirmed,,2024-11-01
m1_lightgbm,decides,adm_via_ae,135,537,-0.40641789800800826,-0.5136641207247802,-0.30903487157821513,-0.36327322928496864,-0.42344741968475663,-0.2999671112330909,537,538,0,1,True,confirmed,,2024-11-01
m1_lightgbm,descriptive,pooled,190,1774,-0.37319862458245423,-0.4257437098151028,-0.32357581745876185,-0.4366242288348319,-0.4714555819619697,-0.4006559265374564,1775,1775,1,1,True,descriptive,,2024-11-01
m1_lightgbm_v3_raw,alongside,att_all,189,751,-0.2744104520109371,-0.33872112115086334,-0.20735531678731958,-0.3442747700284394,-0.3899940559092914,-0.2889928033881105,752,751,1,0,True,confirmed,,2024-11-01
m1_lightgbm_v3_raw,alongside,att_type1,122,486,-0.2553302518597716,-0.338272386368113,-0.17558010675909755,-0.2968071819913365,-0.35830919545142587,-0.22911027049524973,486,486,0,0,True,confirmed,,2024-11-01
m1_lightgbm_v3_raw,alongside,adm_via_ae,135,537,-0.48387431242992157,-0.5981470210380941,-0.37772558293639835,-0.4325069956466283,-0.48640101522062923,-0.3729495453390416,537,538,0,1,True,confirmed,,2024-11-01
m1_lightgbm_v3_raw,descriptive,pooled,190,1774,-0.31923268228615626,-0.3716711096605848,-0.2686454198956502,-0.3734867026319182,-0.40766149283888603,-0.3335993127094149,1775,1775,1,1,True,descriptive,,2024-11-01
m1_lightgbm,decides,att_all,189,751,-0.33712575884846546,-0.39955499913085996,-0.2749737258398208,-0.4325076748549237,-0.48369238798749553,-0.3780181319417794,752,751,1,0,True,confirmed,,2024-12-01
m1_lightgbm,decides,att_type1,122,486,-0.33910736096256877,-0.42634086686745526,-0.25724474472186537,-0.40134779434508505,-0.45709293959631037,-0.3398350053729259,486,486,0,0,True,confirmed,,2024-12-01
m1_lightgbm,decides,adm_via_ae,135,537,-0.3797276688223725,-0.49087385543530776,-0.27787341215733846,-0.34952960352818496,-0.4131651991813102,-0.28044741890000097,537,538,0,1,True,confirmed,,2024-12-01
m1_lightgbm,descriptive,pooled,190,1774,-0.33641476620213473,-0.39104218389005857,-0.2874727338505854,-0.400248493550425,-0.4391342027872638,-0.36042590373486605,1775,1775,1,1,True,descriptive,,2024-12-01
m1_lightgbm_v3_raw,alongside,att_all,189,751,-0.26759904054583616,-0.3315860261607895,-0.20460933363341272,-0.34330998383280287,-0.3918777999295432,-0.2878988846753239,752,751,1,0,True,confirmed,,2024-12-01
m1_lightgbm_v3_raw,alongside,att_type1,122,486,-0.29267180217119937,-0.38374481982381686,-0.20774586240708398,-0.34638936157265465,-0.4081907648323325,-0.27404413570833264,486,486,0,0,True,confirmed,,2024-12-01
m1_lightgbm_v3_raw,alongside,adm_via_ae,135,537,-0.48965120756406766,-0.6046312030131168,-0.38280771060185975,-0.4507114084621111,-0.5080004487285865,-0.3840587981161941,537,538,0,1,True,confirmed,,2024-12-01
m1_lightgbm_v3_raw,descriptive,pooled,190,1774,-0.3267971514763947,-0.3790525138265638,-0.27450942876702045,-0.3888059642911329,-0.4258766007028712,-0.3467720550071937,1775,1775,1,1,True,descriptive,,2024-12-01
m1_lightgbm,decides,att_all,189,752,-0.3670299443206174,-0.4313908218125878,-0.30554061570350294,-0.4693713414563194,-0.522664149895068,-0.41331191303159814,754,752,2,0,True,confirmed,,2025-01-01
m1_lightgbm,decides,att_type1,122,486,-0.40123388872384347,-0.49121127678003823,-0.3180274528021969,-0.45112975176509074,-0.5030246980139427,-0.39612349561179694,486,486,0,0,True,confirmed,,2025-01-01
m1_lightgbm,decides,adm_via_ae,135,537,-0.4018742787288085,-0.5100179319454593,-0.3002415394424105,-0.36548112531056764,-0.429084956084846,-0.2945027210567609,537,538,0,1,True,confirmed,,2025-01-01
m1_lightgbm,descriptive,pooled,190,1775,-0.36735485330889406,-0.4247574061018003,-0.31343438519382477,-0.4338458316654479,-0.47247325274603136,-0.3917022777371161,1777,1776,2,1,True,descriptive,,2025-01-01
m1_lightgbm_v3_raw,alongside,att_all,189,752,-0.24190306511937779,-0.310428825658059,-0.18159150321524595,-0.3093545034524302,-0.36577474136273214,-0.24896472591797678,754,752,2,0,True,confirmed,,2025-01-01
m1_lightgbm_v3_raw,alongside,att_type1,122,486,-0.263626244776805,-0.3546841809618385,-0.18100374755453386,-0.29640976424795107,-0.3594291741443109,-0.22751619066851092,486,486,0,0,True,confirmed,,2025-01-01
m1_lightgbm_v3_raw,alongside,adm_via_ae,135,537,-0.4709743960507684,-0.578744044298759,-0.36238457363854887,-0.4283236359529681,-0.48473152530004193,-0.3639536948562521,537,538,0,1,True,confirmed,,2025-01-01
m1_lightgbm_v3_raw,descriptive,pooled,190,1775,-0.30923848801413706,-0.3642753633801901,-0.2556710019021844,-0.3652104438175139,-0.4064444353491498,-0.32087632291201096,1777,1776,2,1,True,descriptive,,2025-01-01
